lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_daily,Feb_daily,Mar_daily,Apr_daily,May_daily,Jun_daily,Jul_daily,Aug_daily,Sep_daily,Oct_daily,Nov_daily,Dec_daily
120.45,22.65,3.923,6.958,8.241,26.575,137.707,322.776,294.228,349.776,135.437,17.16,1.886,1.8,0.13,0.25,0.27,0.89,4.44,10.76,9.49,11.28,4.51,0.55,0.06,0.06
120.2,22.8,3.934,3.866,6.602,27.809,108.404,330.603,209.645,233.877,68.982,3.08,1.422,1.493,0.13,0.14,0.21,0.93,3.50,11.02,6.76,7.54,2.30,0.10,0.05,0.05
120.5,22.8,3.996,5.659,9.498,33.802,151.508,394.386,358.105,422.563,169.845,21.266,4.434,1.586,0.13,0.20,0.31,1.13,4.89,13.15,11.55,13.63,5.66,0.69,0.15,0.05
120.55,22.7,4.078,7.539,7.841,30.696,158.348,346.355,344.078,332.686,189.268,27.374,3.319,1.825,0.13,0.27,0.25,1.02,5.11,11.55,11.10,10.73,6.31,0.88,0.11,0.06
120.55,22.65,4.08,4.319,8.604,26.837,153.104,312.11,379.354,384.115,193.277,33.102,1.545,1.249,0.13,0.15,0.28,0.89,4.94,10.40,12.24,12.39,6.44,1.07,0.05,0.04
120.4,22.75,4.094,5.857,9.805,31.509,151.218,327.428,285.048,315.128,120.5,8.884,1.952,1.292,0.13,0.21,0.32,1.05,4.88,10.91,9.20,10.17,4.02,0.29,0.07,0.04
120.65,22.3,4.127,4.104,5.38,25.206,119.802,311.35,303.952,390.34,181.11,20.022,6.06,2.69,0.13,0.15,0.17,0.84,3.86,10.38,9.80,12.59,6.04,0.65,0.20,0.09
120.05,23.05,4.143,5.94,8.144,33.236,95.898,215.95,206.498,182.656,52.838,0.596,2.266,1.904,0.13,0.21,0.26,1.11,3.09,7.20,6.66,5.89,1.76,0.02,0.08,0.06
120.45,22.85,4.147,7.475,8.43,32.275,153.673,342.524,335.561,390.388,136.278,14.325,4.279,2.95,0.13,0.27,0.27,1.08,4.96,11.42,10.82,12.59,4.54,0.46,0.14,0.10
120.35,22.55,4.222,3.474,6.778,29.408,115.023,296.991,226.171,267.308,111.81,13.657,2.584,1.436,0.14,0.12,0.22,0.98,3.71,9.90,7.30,8.62,3.73,0.44,0.09,0.05
120.55,22.75,4.232,8.564,8.3,32.861,168.204,369.119,363.606,420.974,188.345,32.338,4.378,2.189,0.14,0.31,0.27,1.10,5.43,12.30,11.73,13.58,6.28,1.04,0.15,0.07
120.4,22.7,4.318,5.744,6.712,26.871,121.032,311.321,277.274,318.716,126.982,14.025,2.106,1,0.14,0.21,0.22,0.90,3.90,10.38,8.94,10.28,4.23,0.45,0.07,0.03
120.2,22.9,4.324,5.863,8.286,34.555,126.083,318.46,225.935,262.388,76.39,2.682,1.066,1.012,0.14,0.21,0.27,1.15,4.07,10.62,7.29,8.46,2.55,0.09,0.04,0.03
120.5,22.7,4.331,7.737,7.888,28.846,149.375,345.746,347.254,339.73,165.446,24.325,3.715,2.194,0.14,0.28,0.25,0.96,4.82,11.52,11.20,10.96,5.51,0.78,0.12,0.07
120.45,22.7,4.346,6.445,9.024,30.73,144.904,341.747,316.346,334.228,147.63,18.874,3.819,1.563,0.14,0.23,0.29,1.02,4.67,11.39,10.20,10.78,4.92,0.61,0.13,0.05
120.7,22.05,4.386,4.666,3.342,12.726,83.42,264.142,254.45,308.302,158.558,17.362,7.024,1.728,0.14,0.17,0.11,0.42,2.69,8.80,8.21,9.95,5.29,0.56,0.23,0.06
120.35,22.65,4.39,5.786,6.858,25.314,118.908,309.658,246.704,268.729,116.206,9.016,3.205,1.744,0.14,0.21,0.22,0.84,3.84,10.32,7.96,8.67,3.87,0.29,0.11,0.06
120.5,22.65,4.393,7.209,8.836,28.201,146.567,312.804,336.518,361.613,156.082,16.33,2.958,1.395,0.14,0.26,0.29,0.94,4.73,10.43,10.86,11.66,5.20,0.53,0.10,0.05
120.35,22.5,4.444,2.994,5.877,25.46,100.723,312.748,241.707,238.527,102.124,15.021,1.807,1.922,0.14,0.11,0.19,0.85,3.25,10.42,7.80,7.69,3.40,0.48,0.06,0.06
120.45,22.45,4.473,3.418,6.945,25.124,115.14,332.114,268.553,265.186,123.015,14.09,1.732,1.71,0.14,0.12,0.22,0.84,3.71,11.07,8.66,8.55,4.10,0.45,0.06,0.06
120.3,22.6,4.554,3.538,8.336,27.556,123.784,324.908,221.74,264.596,111.31,11.794,3.053,1.116,0.15,0.13,0.27,0.92,3.99,10.83,7.15,8.54,3.71,0.38,0.10,0.04
120.55,22.85,4.566,6.069,8.912,37.56,179.002,399.721,404.362,461.048,200.769,23.876,3.398,1.65,0.15,0.22,0.29,1.25,5.77,13.32,13.04,14.87,6.69,0.77,0.11,0.05
120.6,22.6,4.65,4.148,9.1,31.318,156.416,383.525,457.185,433.222,244.391,50.861,4.364,2.19,0.15,0.15,0.29,1.04,5.05,12.78,14.75,13.97,8.15,1.64,0.15,0.07
120.5,22.85,4.705,7.044,8.384,33.449,161.759,366.048,400.956,435.596,146.906,17.023,3.907,2.504,0.15,0.25,0.27,1.11,5.22,12.20,12.93,14.05,4.90,0.55,0.13,0.08
120.4,22.85,4.713,8.51,8.298,32.608,151.75,353.474,308.644,331.486,138.986,11.357,3.254,3.762,0.15,0.30,0.27,1.09,4.90,11.78,9.96,10.69,4.63,0.37,0.11,0.12
