lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,1.295,9.56,20.45,32.52,0.116,220.051,372.928,53.973,826.723,0.0,18.668,16.903
 120.80,  24.30,2.143,11.632,22.493,29.21,2.889,193.936,522.019,99.46,1012.04,0.0,25.511,26.262
 120.85,  24.30,5.145,11.979,33.258,45.128,11.743,189.874,483.933,95.567,1176.654,0.007,29.659,30.433
 120.90,  24.30,9.79,14.154,43.023,47.709,31.128,226.716,460.688,109.435,1204.228,1.184,27.901,29.455
 121.00,  24.30,24.401,50.936,79.454,48.159,30.664,238.323,473.563,140.219,1218.917,8.018,56.581,62.633
 121.05,  24.30,27.669,62.773,108.982,55.721,39.372,250.836,486.85,151.148,1150.751,11.094,69.846,87.734
 121.10,  24.30,23.711,50.211,104.394,40.183,15.677,218.69,392.334,96.051,864.165,12.746,72.542,59.552
 120.70,  24.35,1.406,3.135,25.206,33.871,0.089,181.172,267.914,29.248,649.826,0.0,11.002,8.968
 120.75,  24.35,0.917,10.546,21.174,36.842,0.468,183.514,385.979,44.901,906.078,0.0,15.547,14.835
 120.80,  24.35,0.899,13.257,22.245,35.257,0.928,165.512,461.769,55.249,1079.271,0.0,25.57,28.422
 120.85,  24.35,3.655,13.951,31.689,41.03,6.465,152.217,411.188,59.595,1193.37,0.005,30.973,29.298
 120.90,  24.35,11.437,15.471,45.47,45.076,23.882,177.129,392.159,89.091,1272.818,1.838,34.021,28.571
 120.95,  24.35,18.64,25.602,56.839,45.145,26.379,197.826,367.336,127.023,1467.267,3.387,43.475,41.242
 121.00,  24.35,20.738,39.617,66.017,40.404,24.232,207.245,413.059,110.107,1277.784,6.826,52.736,44.49
 121.05,  24.35,23.552,58.329,96.181,52.112,40.144,249.707,485.821,147.836,1170.566,11.463,67.581,84.663
 121.10,  24.35,19.276,47.501,93.751,37.005,22.586,230.006,396.812,106.468,913.448,13.105,74.013,72.599
 121.15,  24.35,19.517,46.975,92.49,32.232,14.594,210.162,341.619,79.699,715.155,13.184,79.053,60.693
 121.20,  24.35,25.996,58.141,101.541,40.483,16.926,214.579,343.652,89.786,586.833,13.488,84.195,62.81
 120.65,  24.40,1.155,0.092,29.137,29.694,0.051,167.272,232.702,12.949,450.949,0.0,13.45,17.791
 120.70,  24.40,0.162,0.114,23.54,31.426,0.0,155.204,229.407,12.374,626.313,0.0,9.978,11.757
 120.75,  24.40,0.039,8.552,26.313,35.808,0.416,155.186,328.012,22.877,931.748,0.0,18.977,20.897
 120.80,  24.40,1.911,19.406,38.176,41.152,6.583,168.407,378.436,37.634,1201.779,0.0,29.409,34.582
 120.85,  24.40,6.441,22.268,39.667,43.195,14.233,167.801,348.954,53.623,1346.98,0.342,30.362,32.406
 120.90,  24.40,8.194,20.049,47.659,43.803,18.79,157.227,352.358,62.844,1293.881,2.334,32.912,24.255
 120.95,  24.40,16.343,28.618,61.992,42.677,28.53,181.233,363.571,93.406,1377.865,5.626,40.786,35.634
 121.00,  24.40,15.476,36.359,67.533,32.737,28.467,202.297,418.262,94.216,1095.197,7.462,45.403,35.121
 121.05,  24.40,12.102,38.873,65.009,23.153,28.27,233.194,420.356,92.872,944.703,10.114,51.824,42.092
 121.10,  24.40,12.25,38.419,72.465,25.584,18.327,195.884,340.112,74.309,907.316,11.8,61.166,51.319
 121.15,  24.40,12.719,37.337,75.644,28.834,11.962,172.191,305.219,59.755,823.122,11.895,66.823,48.612
 121.20,  24.40,14.474,40.437,77.416,33.422,10.861,166.559,312.095,57.244,705.643,10.69,69.943,48.552
 121.25,  24.40,13.811,44.87,74.407,33.38,12.549,172.502,353.32,55.347,588.867,8.632,71.792,52.585
 120.60,  24.45,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.65,  24.45,0.0,0.0,29.116,22.486,0.0,185.239,145.231,4.11,470.815,0.0,4.295,18.967
 120.70,  24.45,0.0,0.0,26.303,27.022,0.0,129.731,174.759,1.306,582.594,0.0,7.331,12.543
 120.75,  24.45,0.006,2.488,32.172,30.729,0.506,117.117,253.168,3.89,803.166,0.0,11.941,17.183
 120.80,  24.45,0.346,13.919,46.453,39.46,6.107,135.186,316.442,18.146,1072.028,0.0,19.262,25.21
 120.85,  24.45,4.26,26.555,45.639,42.574,18.079,147.687,330.773,34.114,1269.988,0.077,23.522,27.244
 120.90,  24.45,7.183,28.028,43.241,39.479,15.608,158.976,311.567,45.161,1343.66,1.544,30.866,25.234
 120.95,  24.45,16.99,29.917,57.722,38.611,32.459,204.023,321.53,75.459,1321.323,4.405,42.76,36.031
 121.00,  24.45,12.712,28.019,59.213,27.783,26.945,218.975,354.516,70.522,1057.053,5.74,42.89,33.066
 121.05,  24.45,8.468,27.416,61.883,26.399,23.738,216.789,332.126,72.398,938.923,9.851,47.745,26.163
 121.10,  24.45,9.181,35.275,69.647,28.455,17.491,165.81,287.895,61.746,1049.365,13.182,56.053,43.439
 121.15,  24.45,8.002,36.31,69.758,31.574,11.294,141.22,273.176,51.668,1026.667,12.385,59.141,46.775
 121.20,  24.45,7.112,35.229,63.816,31.854,8.44,132.661,287.851,43.37,897.265,9.849,59.321,45.027
 121.25,  24.45,6.856,35.941,55.459,29.239,8.867,138.898,314.333,42.242,801.035,6.711,63.293,47.165
 121.30,  24.45,7.863,35.104,49.649,26.622,11.261,145.073,316.37,57.616,803.687,5.577,65.978,53.409
 121.35,  24.45,12.972,38.571,48.203,29.502,20.827,151.254,311.853,91.459,896.878,8.271,72.984,68.688
 120.65,  24.50,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.70,  24.50,0.0,0.0,32.257,23.186,0.0,108.666,156.966,0.098,544.005,0.0,8.293,15.052
 120.75,  24.50,0.0,0.983,35.062,26.594,0.742,88.862,201.102,1.27,663.261,0.0,10.539,14.733
 120.80,  24.50,0.016,7.43,50.991,36.2,6.114,105.364,264.079,10.973,879.792,0.0,12.468,15.899
 120.85,  24.50,2.567,20.261,55.237,46.116,13.979,143.021,281.171,28.491,1099.421,0.0,17.797,22.044
 120.90,  24.50,7.852,23.835,54.727,44.869,16.344,170.738,267.421,43.271,1236.067,0.48,24.706,25.807
 120.95,  24.50,12.414,20.366,53.669,39.88,18.173,172.394,282.518,62.739,1268.778,2.822,37.0,27.277
 121.00,  24.50,12.15,21.04,57.721,36.875,22.773,181.483,270.683,66.255,1055.098,5.519,44.787,23.769
 121.05,  24.50,10.854,25.836,65.95,36.922,17.614,165.972,236.188,52.586,1061.703,8.389,47.741,31.054
 121.10,  24.50,13.57,41.558,79.625,43.812,22.682,154.054,256.57,74.979,1396.734,19.724,63.947,57.86
 121.15,  24.50,8.372,41.661,75.099,40.089,15.64,131.201,261.129,66.364,1354.332,16.951,61.895,58.72
 121.20,  24.50,6.376,39.26,66.583,35.099,10.876,125.388,278.029,56.545,1192.004,13.84,59.012,55.034
 121.25,  24.50,8.819,36.884,58.81,34.529,13.099,142.37,283.944,59.06,1105.379,8.773,64.844,52.879
 121.30,  24.50,12.588,35.896,54.329,33.758,17.427,160.43,293.242,82.228,1058.893,7.968,67.912,56.745
 121.35,  24.50,16.369,39.573,52.658,34.157,19.554,163.313,304.252,96.636,1067.884,9.18,72.866,64.856
 121.40,  24.50,18.063,45.731,46.81,35.031,22.483,162.231,339.385,96.768,974.73,11.292,82.436,75.406
 120.70,  24.55,0.0,0.007,35.607,23.529,0.0,94.525,165.777,0.0,522.629,0.0,8.988,14.124
 120.75,  24.55,0.0,0.644,39.049,26.676,0.174,85.206,183.898,1.488,590.454,0.0,11.119,14.229
 120.80,  24.55,0.549,3.981,54.393,36.595,3.108,100.422,232.693,14.002,685.83,0.0,16.227,13.642
 120.85,  24.55,2.56,10.629,61.971,44.111,8.649,110.682,237.625,23.352,897.838,0.0,13.336,18.905
 120.90,  24.55,9.452,21.0,62.82,52.954,15.13,163.782,249.853,56.504,1133.047,0.058,22.645,29.35
 120.95,  24.55,6.516,15.741,40.624,48.492,9.769,134.742,211.826,44.604,991.448,0.596,25.964,20.674
 121.00,  24.55,10.381,19.287,52.444,46.475,19.781,163.351,217.375,62.043,930.551,2.215,42.411,23.685
 121.05,  24.55,14.424,25.988,67.04,45.582,23.645,168.86,205.455,47.274,1069.414,3.152,42.464,33.822
 121.10,  24.55,13.245,30.359,71.131,47.311,22.937,140.79,217.512,47.961,1246.549,5.796,47.798,37.859
 121.15,  24.55,13.241,37.231,78.603,47.632,21.56,134.683,235.568,61.934,1304.239,9.86,56.916,47.856
 121.20,  24.55,13.693,43.813,82.247,48.136,25.078,141.074,260.015,83.807,1433.258,18.727,67.614,63.408
 121.25,  24.55,14.805,42.077,69.327,45.429,28.316,158.148,273.606,88.259,1442.169,14.75,70.362,61.519
 121.30,  24.55,17.772,39.557,62.029,42.179,33.818,194.333,296.012,125.989,1283.346,9.369,69.115,58.504
 121.35,  24.55,17.986,39.433,59.232,41.56,25.231,173.783,286.068,89.918,1347.476,10.923,69.077,60.29
 121.40,  24.55,17.187,39.517,49.768,40.7,26.344,159.674,318.323,75.407,1182.291,13.094,76.998,68.496
 120.70,  24.60,0.0,2.293,43.535,21.182,0.23,74.297,164.804,0.0,515.725,0.0,6.639,16.742
 120.75,  24.60,0.11,2.204,49.18,24.3,1.845,73.579,164.617,1.689,531.83,0.0,8.43,15.995
 120.80,  24.60,1.324,0.779,62.414,33.077,2.827,88.819,192.856,12.172,579.317,0.0,12.938,13.212
 120.85,  24.60,2.053,2.29,66.872,38.412,2.796,95.623,191.906,15.135,695.423,0.0,10.521,14.297
 120.90,  24.60,3.693,6.211,51.043,45.377,6.852,128.082,181.77,33.81,872.7,0.0,14.449,23.558
 120.95,  24.60,1.588,9.12,24.366,49.416,5.906,118.394,174.822,35.128,879.694,0.0,19.237,15.03
 121.00,  24.60,4.95,15.727,36.544,52.255,12.748,141.079,196.154,52.156,897.242,0.0,38.06,19.981
 121.05,  24.60,13.003,23.737,61.127,57.298,25.068,167.646,184.808,55.843,996.07,1.555,39.345,33.172
 121.10,  24.60,9.111,22.651,57.768,55.012,30.531,152.702,193.591,49.489,949.563,0.948,34.048,23.057
 121.15,  24.60,17.361,36.549,80.859,60.913,39.383,173.04,242.117,78.333,1001.427,6.463,50.054,39.558
 121.20,  24.60,14.095,36.035,77.115,52.89,30.902,142.171,227.326,72.362,1240.622,9.426,56.037,49.604
 121.25,  24.60,13.5,34.543,64.233,48.564,25.929,131.801,243.212,77.854,1334.964,10.022,54.742,53.794
 121.30,  24.60,16.393,35.056,59.076,46.91,27.536,150.643,270.58,100.091,1334.962,9.405,56.986,53.425
 121.35,  24.60,16.739,35.841,60.29,48.992,26.857,174.364,265.23,73.543,1617.115,13.843,60.117,54.105
 121.40,  24.60,18.495,35.574,52.81,50.882,23.094,211.091,316.024,83.066,1567.24,17.226,61.024,64.626
 121.45,  24.60,18.601,44.48,49.264,48.94,16.569,225.554,378.436,81.303,1328.649,17.738,68.733,78.718
 120.75,  24.65,0.469,7.884,58.655,23.345,3.661,70.289,161.338,0.534,525.416,0.0,6.893,18.67
 120.80,  24.65,0.86,2.233,61.127,25.055,3.749,70.673,149.26,3.035,526.746,0.0,7.199,14.473
 120.85,  24.65,2.785,1.182,67.095,37.557,4.557,103.137,157.313,7.12,580.335,0.0,11.488,11.167
 120.90,  24.65,3.212,2.803,53.455,42.195,2.333,123.282,131.972,11.147,689.031,0.0,14.981,14.017
 120.95,  24.65,1.863,4.939,39.644,46.568,1.298,139.326,130.253,21.741,773.616,0.0,21.422,14.877
 121.00,  24.65,0.561,8.272,37.423,45.313,1.652,125.021,123.753,20.156,737.803,0.0,27.529,13.568
 121.05,  24.65,2.765,12.218,46.176,55.476,5.938,142.384,128.783,24.065,808.809,0.0,30.726,16.581
 121.10,  24.65,4.79,16.762,51.463,56.417,20.678,139.04,146.841,27.126,876.233,0.0,27.574,17.056
 121.15,  24.65,8.587,21.82,63.922,56.088,28.56,149.369,173.343,44.346,962.341,1.789,33.288,28.902
 121.20,  24.65,8.366,29.648,67.063,53.801,49.631,162.542,228.96,62.483,1120.842,0.576,38.273,29.003
 121.25,  24.65,10.212,27.732,65.653,54.107,32.484,166.065,242.982,65.686,1278.647,4.137,45.797,43.497
 121.30,  24.65,13.166,31.743,46.941,52.99,28.751,144.166,254.945,82.889,1429.065,10.444,56.591,58.38
 121.35,  24.65,14.524,32.906,48.113,47.852,22.685,196.65,265.092,82.264,1494.902,10.087,59.754,44.763
 121.40,  24.65,18.34,31.532,51.153,52.032,16.608,256.972,321.64,100.929,1707.846,12.745,55.387,56.663
 121.45,  24.65,18.35,31.055,50.633,48.072,12.585,259.92,344.311,90.297,1639.55,12.997,63.351,60.66
 121.50,  24.65,14.336,41.263,46.26,45.276,6.887,248.399,315.02,77.093,1180.574,18.103,101.352,95.145
 120.85,  24.70,6.528,5.051,60.931,34.978,15.363,117.86,129.097,5.348,481.589,0.0,17.862,10.602
 120.90,  24.70,5.133,4.29,52.018,31.331,9.162,132.513,100.883,6.197,491.679,0.0,18.78,13.663
 120.95,  24.70,3.549,4.353,59.426,32.388,7.298,157.683,97.384,15.359,551.473,0.518,25.04,18.609
 121.00,  24.70,0.183,6.973,60.635,38.68,4.322,160.365,107.502,11.029,592.755,0.0,21.314,11.954
 121.05,  24.70,0.91,9.116,56.457,52.939,2.859,163.451,102.083,16.485,609.577,0.0,29.791,12.087
 121.10,  24.70,2.891,13.315,65.612,51.502,12.553,154.758,99.981,11.146,674.014,0.0,24.561,13.931
 121.15,  24.70,4.978,17.722,63.177,52.002,22.925,140.986,130.147,10.39,821.426,0.0,25.199,19.778
 121.20,  24.70,6.71,25.753,53.55,53.921,34.438,145.123,211.821,30.149,1035.538,0.0,27.099,27.955
 121.25,  24.70,6.444,23.741,53.178,49.944,24.527,149.866,237.779,48.676,1154.834,1.29,32.494,34.142
