lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,108.338,23.402,41.724,27.123,73.698,251.113,204.244,410.904,2.188,6.733,12.555,11.993
 120.80,  24.30,121.027,29.994,48.212,34.816,85.819,282.295,302.324,499.572,15.438,6.947,14.817,8.467
 120.85,  24.30,135.144,35.926,50.188,50.73,84.488,332.019,434.169,481.249,34.139,7.227,15.541,5.233
 120.90,  24.30,163.369,50.049,58.521,71.497,96.605,420.451,462.298,407.238,42.082,11.126,20.929,3.415
 121.00,  24.30,302.219,94.42,85.086,91.078,117.14,403.05,508.963,426.001,45.06,29.539,46.832,1.343
 121.05,  24.30,363.068,126.774,100.786,118.489,144.002,459.745,539.117,520.383,64.459,41.396,65.9,2.145
 121.10,  24.30,332.35,117.048,94.45,106.586,126.779,394.992,443.33,447.09,53.539,41.242,58.785,0.819
 120.70,  24.35,99.824,19.769,45.165,22.337,61.368,136.179,121.424,281.415,14.368,4.945,18.274,11.645
 120.75,  24.35,112.859,23.639,45.616,24.722,59.291,175.497,153.482,331.557,4.796,7.514,16.995,12.107
 120.80,  24.35,126.986,28.49,47.551,32.17,67.34,239.592,257.642,412.831,6.823,6.765,15.402,10.281
 120.85,  24.35,147.828,40.553,57.225,53.62,71.268,292.452,354.407,399.204,24.183,8.022,18.172,9.248
 120.90,  24.35,181.769,55.263,67.743,66.034,73.218,436.063,446.284,397.578,55.763,12.07,21.853,6.994
 120.95,  24.35,213.531,64.675,77.981,77.531,85.781,465.035,455.854,323.662,47.336,12.897,25.736,4.613
 121.00,  24.35,203.038,55.405,70.999,64.729,87.033,369.157,422.16,321.397,31.982,14.639,25.244,3.851
 121.05,  24.35,333.92,111.045,95.363,103.474,120.395,417.685,507.578,472.43,55.722,37.599,58.833,2.515
 121.10,  24.35,337.392,121.083,95.864,104.358,124.339,390.397,451.527,461.704,61.051,44.965,68.749,2.973
 121.15,  24.35,269.511,101.488,86.106,86.951,114.377,324.591,356.805,397.104,61.19,45.921,67.737,3.769
 121.20,  24.35,205.555,83.846,76.06,76.94,103.003,286.327,293.833,350.189,76.458,52.89,71.901,4.664
 120.65,  24.40,112.723,17.397,47.172,13.179,61.453,69.191,98.125,273.723,10.612,4.23,14.631,6.566
 120.70,  24.40,123.102,23.262,50.495,16.904,63.702,98.312,93.45,276.971,11.289,4.657,16.567,11.047
 120.75,  24.40,141.395,30.795,57.402,31.105,54.042,135.226,135.094,300.283,14.12,9.239,18.626,14.457
 120.80,  24.40,158.038,37.094,54.146,58.788,71.128,207.375,178.662,372.681,14.924,6.659,15.647,14.46
 120.85,  24.40,184.346,46.835,58.335,99.515,90.464,293.731,226.56,373.359,52.25,8.538,16.425,14.113
 120.90,  24.40,206.397,58.255,65.958,101.551,86.445,392.178,361.684,295.714,72.223,14.796,20.416,10.692
