lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,37.338,23.321,93.611,216.964,238.392,61.196,76.777,165.894,181.494,3.908,8.379,10.434
 120.80,  24.30,43.245,25.056,90.138,192.43,224.875,120.151,70.634,252.762,202.289,4.715,15.713,10.197
 120.85,  24.30,43.746,30.498,111.188,238.357,238.57,178.684,80.279,285.046,232.312,7.508,18.585,9.903
 120.90,  24.30,40.359,36.201,118.219,261.367,287.263,194.692,74.612,292.87,249.786,14.489,21.956,8.267
 121.00,  24.30,71.954,38.919,128.752,257.06,244.136,131.263,29.259,169.447,190.149,24.237,51.054,10.263
 121.05,  24.30,100.066,64.502,222.805,405.619,408.7,140.817,19.376,208.779,277.66,26.908,63.338,9.06
 121.10,  24.30,94.686,68.822,272.033,443.4,387.096,110.296,12.365,140.188,227.827,20.236,58.694,7.097
 120.70,  24.35,33.235,20.055,93.914,245.419,228.58,43.77,53.431,120.802,149.357,3.018,6.511,11.666
 120.75,  24.35,35.71,23.952,83.483,240.774,243.464,54.701,53.102,143.216,158.42,5.377,4.349,9.422
 120.80,  24.35,39.354,24.835,74.993,235.894,259.855,101.773,59.287,185.765,196.726,8.765,14.12,10.15
 120.85,  24.35,34.386,33.638,95.352,256.517,264.322,130.454,66.123,188.977,208.102,10.977,21.93,10.902
 120.90,  24.35,40.92,41.825,128.089,289.5,292.338,163.163,72.613,229.345,235.881,14.05,24.922,10.759
 120.95,  24.35,49.227,44.768,156.605,313.274,305.891,164.38,84.484,263.748,255.96,17.977,29.399,10.18
 121.00,  24.35,63.859,52.398,180.017,326.741,307.922,114.561,41.669,201.334,228.836,25.82,43.91,11.654
 121.05,  24.35,100.058,63.755,224.636,385.864,364.976,114.005,15.71,184.461,254.489,32.238,61.6,10.411
 121.10,  24.35,102.409,68.368,267.195,429.899,364.33,98.526,10.478,146.626,227.796,33.062,64.513,8.915
 121.15,  24.35,105.957,74.069,300.967,471.498,353.205,89.092,10.374,125.593,207.551,40.762,68.736,8.392
 121.20,  24.35,113.92,78.081,309.104,494.854,327.959,95.817,17.593,123.091,203.869,55.513,70.874,8.293
 120.65,  24.40,33.539,18.427,85.077,241.33,196.913,43.009,31.691,78.654,141.292,2.702,8.388,13.887
