lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,22.079,28.913,169.039,85.646,223.546,415.131,324.23,34.217,91.325,2.153,8.28,9.832
 120.80,  24.30,21.88,31.137,170.924,87.274,262.019,475.942,377.577,46.671,109.392,3.011,11.322,9.427
 120.85,  24.30,26.414,36.197,179.425,96.711,278.693,474.956,446.174,55.83,116.493,7.261,13.69,8.429
 120.90,  24.30,35.508,41.898,204.379,113.794,310.088,469.057,501.188,63.793,122.488,7.678,13.469,9.127
 121.00,  24.30,46.845,51.352,260.797,153.697,441.8,499.909,475.547,66.964,150.219,9.91,12.497,14.076
 121.05,  24.30,50.974,74.858,335.37,227.919,497.115,467.403,540.165,72.643,191.654,35.371,22.434,37.968
 121.10,  24.30,40.538,90.147,345.978,241.714,400.786,372.212,427.824,50.893,214.979,57.944,15.844,37.438
 120.70,  24.35,23.023,23.769,167.802,85.017,224.382,366.51,315.569,33.662,76.709,3.991,7.298,7.261
 120.75,  24.35,21.81,31.169,184.076,91.466,233.4,433.876,309.723,21.085,75.801,3.726,8.487,7.806
 120.80,  24.35,23.544,37.056,199.698,96.875,250.234,460.461,412.842,22.691,80.68,4.903,10.744,8.971
 120.85,  24.35,27.757,37.017,205.602,104.655,267.438,437.035,428.942,34.381,90.119,5.727,16.11,8.376
 120.90,  24.35,40.822,43.922,237.477,128.057,315.324,440.399,489.768,48.015,105.42,5.916,18.67,8.632
 120.95,  24.35,46.862,50.553,259.839,139.552,342.078,485.804,564.621,85.47,115.032,9.431,19.408,13.45
 121.00,  24.35,51.547,57.54,285.47,163.961,388.48,451.088,523.858,49.128,119.767,14.251,21.274,16.501
 121.05,  24.35,51.753,73.347,315.587,206.205,445.866,428.661,511.714,64.788,191.352,39.211,29.987,32.453
 121.10,  24.35,45.085,81.853,264.986,173.728,391.994,353.857,421.977,60.968,232.098,65.752,33.163,44.515
 121.15,  24.35,40.841,84.25,224.642,133.732,337.614,289.846,361.925,58.756,278.965,91.505,42.063,56.401
 121.20,  24.35,39.464,81.768,252.605,133.784,307.064,259.764,314.745,62.571,334.625,104.162,60.198,65.847
 120.65,  24.40,21.332,22.248,185.924,87.098,248.932,276.864,264.299,12.631,55.955,7.184,11.063,5.812
 120.70,  24.40,23.673,26.807,195.457,95.057,239.433,332.61,234.431,8.428,61.0,8.012,12.389,6.398
 120.75,  24.40,28.033,32.195,206.123,109.598,232.901,413.369,270.703,6.929,72.656,9.41,13.585,8.248
 120.80,  24.40,26.954,36.442,213.967,115.688,237.275,437.989,393.382,16.262,77.677,9.967,15.008,8.682
 120.85,  24.40,28.53,37.999,220.488,116.553,257.084,421.608,432.804,32.157,83.971,6.987,17.445,9.338
 120.90,  24.40,38.95,46.768,245.211,132.291,304.038,433.053,466.819,40.95,100.534,7.023,18.47,9.085
 120.95,  24.40,49.059,52.51,249.151,133.1,351.11,415.615,460.586,48.655,118.636,7.978,20.009,7.524
 121.00,  24.40,52.458,53.784,255.146,138.138,363.91,409.014,403.262,45.608,135.306,14.118,22.274,9.22
 121.05,  24.40,57.548,67.096,255.322,160.746,391.731,496.278,475.921,69.397,177.748,47.501,24.846,20.287
 121.10,  24.40,46.883,70.497,142.035,81.437,362.716,340.822,330.993,51.831,208.489,66.011,34.404,36.215
 121.15,  24.40,41.88,70.915,97.348,39.876,324.774,254.205,281.62,51.614,237.327,82.103,43.421,50.308
 121.20,  24.40,35.638,67.809,106.188,38.026,289.204,217.665,261.333,59.525,275.255,93.405,57.101,58.404
 121.25,  24.40,29.315,62.602,196.792,81.085,264.501,226.985,223.297,56.867,293.484,89.46,76.703,56.882
 120.60,  24.45,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.65,  24.45,20.729,20.394,199.432,91.655,260.222,291.42,228.584,10.106,65.319,5.322,13.1,4.078
 120.70,  24.45,25.533,25.809,201.636,100.544,252.156,291.798,195.702,6.087,62.107,8.886,16.098,4.943
 120.75,  24.45,34.868,31.228,206.991,114.809,221.908,338.365,222.867,3.407,69.812,12.612,17.22,7.548
 120.80,  24.45,32.531,34.948,200.866,120.708,216.279,362.847,292.866,7.399,73.167,12.297,14.487,7.882
 120.85,  24.45,31.14,40.622,201.997,129.793,230.727,365.002,353.638,28.896,88.827,8.549,16.164,10.777
 120.90,  24.45,39.657,47.693,237.779,140.357,275.093,393.577,434.623,48.584,101.749,8.8,19.191,11.578
 120.95,  24.45,55.708,52.125,258.727,135.032,355.999,332.794,447.325,47.214,115.541,6.269,22.602,9.928
 121.00,  24.45,58.269,56.413,254.848,137.89,355.731,362.598,390.094,46.237,141.457,18.278,21.971,7.631
 121.05,  24.45,60.949,64.515,187.221,120.589,346.295,488.862,364.403,67.886,184.387,56.862,24.874,18.012
 121.10,  24.45,47.455,66.133,77.635,32.599,332.332,326.458,207.845,35.407,203.57,70.611,38.182,33.77
 121.15,  24.45,45.193,68.324,57.5,3.107,320.614,228.744,206.529,45.035,219.837,87.049,44.558,51.443
 121.20,  24.45,36.209,64.602,60.8,5.616,278.949,180.802,237.817,61.88,243.069,106.201,52.001,54.939
 121.25,  24.45,22.669,62.299,138.751,50.575,230.452,168.828,218.117,55.113,260.937,117.215,55.891,48.351
 121.30,  24.45,9.968,62.295,195.42,84.493,183.044,164.565,207.004,61.273,329.252,148.034,49.095,43.468
 121.35,  24.45,3.556,60.083,178.84,83.168,137.095,146.741,205.974,58.106,453.481,226.31,56.561,47.392
 120.65,  24.50,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.70,  24.50,24.135,22.87,184.148,98.488,245.271,256.332,172.505,5.882,70.201,8.185,14.283,4.498
 120.75,  24.50,31.39,26.458,187.631,106.528,218.34,273.113,174.601,2.613,69.023,11.38,14.588,4.811
 120.80,  24.50,41.987,33.489,181.513,114.916,206.28,282.5,190.739,3.562,67.678,13.476,10.761,5.65
 120.85,  24.50,34.958,40.098,192.088,129.584,219.73,285.352,262.423,15.23,86.325,13.057,13.503,9.394
 120.90,  24.50,40.571,45.641,231.663,139.753,256.734,297.264,335.427,34.577,99.73,12.811,20.163,12.662
 120.95,  24.50,52.485,55.506,267.525,139.79,300.811,270.502,358.077,41.315,118.354,13.269,27.427,11.929
 121.00,  24.50,55.807,63.155,256.164,139.178,297.803,185.468,233.765,25.64,139.54,23.631,29.95,11.284
 121.05,  24.50,48.459,62.233,135.606,101.673,282.839,219.522,162.429,23.096,168.013,51.244,35.025,16.601
 121.10,  24.50,46.892,64.197,66.89,44.189,287.482,285.88,95.339,19.103,226.563,76.07,53.77,37.853
 121.15,  24.50,48.726,69.233,63.443,1.115,305.832,208.607,142.657,37.948,226.862,102.513,50.675,58.007
 121.20,  24.50,39.415,68.172,92.975,20.21,257.289,154.547,264.534,78.846,233.124,144.966,46.934,55.049
 121.25,  24.50,28.561,71.35,183.531,71.968,210.555,141.951,286.049,85.109,263.059,161.658,40.891,47.449
 121.30,  24.50,15.982,71.075,215.999,92.758,169.437,148.266,277.983,91.356,345.719,198.594,33.045,41.243
 121.35,  24.50,7.085,63.794,191.201,85.759,138.912,149.743,266.997,78.353,475.396,288.697,37.144,39.499
 121.40,  24.50,6.788,55.918,163.921,73.496,136.415,143.234,257.67,59.789,621.147,421.308,61.412,38.37
 120.70,  24.55,23.145,23.259,180.411,98.47,241.917,251.422,156.74,5.57,77.577,10.455,13.077,4.467
 120.75,  24.55,26.656,24.535,178.388,102.2,232.194,254.728,138.3,2.368,77.057,11.686,11.175,4.838
 120.80,  24.55,30.368,32.083,165.256,117.15,223.514,241.764,138.49,2.512,82.52,13.396,5.765,6.951
 120.85,  24.55,34.619,39.14,186.386,125.408,220.284,244.106,165.326,5.698,88.324,19.267,11.728,8.424
 120.90,  24.55,40.029,47.042,214.413,140.695,236.47,250.706,198.598,38.66,114.196,39.389,23.28,14.249
 120.95,  24.55,45.864,56.387,241.234,141.46,253.992,159.203,130.821,35.3,129.716,45.913,34.586,15.349
 121.00,  24.55,51.876,65.015,258.911,144.833,269.566,129.38,119.152,24.874,153.516,45.736,35.934,16.512
 121.05,  24.55,45.587,62.147,192.089,115.816,262.942,133.48,127.525,23.407,153.288,46.639,39.317,22.719
 121.10,  24.55,45.021,65.473,115.799,62.542,239.515,141.985,117.752,25.753,186.592,82.408,48.89,31.052
 121.15,  24.55,46.137,67.136,105.986,39.854,230.885,146.591,188.072,57.416,196.016,122.243,47.153,37.845
 121.20,  24.55,49.466,77.238,215.718,86.852,219.994,143.718,320.956,128.171,228.545,172.857,44.632,53.022
 121.25,  24.55,44.799,87.24,299.967,119.066,203.577,142.516,429.336,161.907,276.76,204.053,32.977,50.073
 121.30,  24.55,30.049,81.695,267.612,109.139,177.981,165.418,424.679,146.075,375.6,237.999,22.482,38.174
 121.35,  24.55,15.827,63.167,203.066,83.277,160.174,162.767,376.849,106.109,520.561,374.649,31.441,37.198
 121.40,  24.55,14.742,53.337,165.4,68.341,161.559,152.523,310.749,81.038,671.661,491.667,53.623,34.743
 120.70,  24.60,25.107,27.63,177.544,99.127,241.825,248.565,145.175,6.056,83.864,13.333,14.725,4.852
 120.75,  24.60,28.788,29.044,183.894,102.976,246.746,275.538,131.138,6.094,93.841,15.357,17.38,6.547
 120.80,  24.60,29.93,30.495,180.992,115.163,234.452,239.279,140.893,3.016,90.212,16.189,12.255,7.065
 120.85,  24.60,34.057,39.726,193.168,125.025,220.228,211.359,116.989,5.474,96.688,23.529,18.896,8.679
 120.90,  24.60,39.099,47.772,215.524,142.907,229.421,223.247,131.03,21.743,113.324,42.092,26.052,13.479
 120.95,  24.60,49.156,55.417,244.79,151.841,270.245,229.511,123.403,52.192,133.895,68.237,40.996,21.625
 121.00,  24.60,50.429,60.878,253.91,143.313,272.743,183.104,149.655,44.585,144.001,83.056,39.801,27.036
 121.05,  24.60,47.39,66.493,236.217,116.947,247.113,122.85,98.415,25.206,163.171,74.873,39.713,25.943
 121.10,  24.60,47.746,69.735,241.937,115.499,236.601,143.859,171.896,38.704,167.6,91.866,38.118,29.005
 121.15,  24.60,52.753,74.054,230.82,109.216,226.686,166.083,228.024,91.105,178.158,134.152,43.726,36.931
 121.20,  24.60,49.332,71.43,267.074,112.913,206.062,151.902,168.984,83.176,196.03,179.959,35.402,29.13
 121.25,  24.60,38.012,71.814,278.64,94.78,186.53,131.879,303.409,96.718,234.228,201.179,21.59,23.059
 121.30,  24.60,25.064,71.976,251.485,75.432,168.761,147.105,451.984,111.427,346.084,248.043,16.282,19.424
 121.35,  24.60,19.066,58.401,196.196,69.501,186.49,154.952,453.724,99.712,508.308,413.358,29.555,28.99
 121.40,  24.60,20.529,58.14,179.874,73.63,223.002,168.014,418.939,84.177,694.436,485.215,49.537,37.535
 121.45,  24.60,18.921,61.374,167.111,70.004,199.993,153.224,355.029,67.498,872.438,664.678,99.736,46.759
 120.75,  24.65,31.734,36.245,175.632,101.523,226.528,231.194,124.661,4.026,83.837,20.904,21.701,6.598
 120.80,  24.65,32.361,35.797,194.494,101.865,222.687,234.189,138.164,5.981,88.736,22.466,29.207,7.875
 120.85,  24.65,32.966,36.467,207.911,113.655,203.526,186.692,91.653,6.364,90.582,25.591,33.298,7.963
 120.90,  24.65,40.387,44.703,221.555,137.575,215.951,196.354,79.374,11.732,102.953,37.387,33.451,11.921
 120.95,  24.65,50.696,51.893,251.138,143.844,245.051,218.049,63.864,22.188,113.65,59.758,44.111,20.664
 121.00,  24.65,51.121,56.793,259.415,133.384,238.524,175.595,62.665,19.725,115.106,74.05,41.199,22.994
 121.05,  24.65,50.954,59.648,259.619,127.46,236.472,151.164,102.435,18.601,112.41,91.706,35.512,21.418
 121.10,  24.65,46.596,62.333,256.635,123.66,243.215,156.14,171.631,34.643,125.552,117.745,26.51,23.51
 121.15,  24.65,43.494,62.872,250.602,107.741,238.922,153.314,98.295,35.027,143.38,142.296,31.986,26.662
 121.20,  24.65,48.817,61.312,255.735,108.378,246.62,198.287,140.744,53.21,178.477,165.247,21.976,25.751
 121.25,  24.65,46.579,56.401,243.293,83.189,234.381,175.656,289.547,77.405,176.832,159.171,7.152,22.575
 121.30,  24.65,30.079,66.954,233.305,71.715,202.163,125.529,444.707,98.039,287.005,233.258,10.567,20.576
 121.35,  24.65,23.665,63.512,196.894,69.848,185.863,136.25,479.152,78.638,398.535,335.074,17.709,17.459
 121.40,  24.65,23.904,62.952,190.268,76.352,235.554,170.601,496.743,75.025,606.034,482.123,39.276,35.794
 121.45,  24.65,21.603,60.057,184.703,76.606,227.362,148.89,450.421,68.187,848.854,770.017,125.238,74.323
 121.50,  24.65,19.748,57.258,163.645,76.564,194.894,155.624,342.019,59.906,983.945,904.099,191.323,91.535
 120.85,  24.70,29.723,34.81,203.158,98.07,175.869,186.884,76.148,3.534,81.293,30.839,42.563,7.247
 120.90,  24.70,34.158,36.79,227.111,113.33,198.007,173.785,51.886,2.569,93.562,35.237,43.816,9.343
 120.95,  24.70,46.114,42.509,248.494,127.711,213.233,207.802,84.85,3.831,109.941,50.239,42.399,17.11
 121.00,  24.70,50.354,50.209,256.576,129.741,211.189,180.372,49.765,6.394,90.196,65.098,42.134,17.726
 121.05,  24.70,50.341,52.766,269.103,133.319,233.179,182.151,89.029,9.697,79.727,84.555,44.894,18.713
 121.10,  24.70,39.149,44.681,264.405,121.224,228.215,159.494,79.137,21.457,81.088,132.202,40.207,21.384
 121.15,  24.70,33.262,41.463,256.857,113.054,236.893,157.491,111.205,30.536,111.128,150.77,31.418,22.822
