lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,45.174,21.781,5.969,17.619,52.026,244.061,42.023,53.441,205.24,6.691,11.446,27.336
 120.80,  24.30,59.02,28.054,4.483,20.591,61.94,257.512,43.202,62.731,322.891,9.723,13.532,36.807
 120.85,  24.30,69.396,33.645,5.181,23.904,75.69,356.784,52.896,114.165,406.635,16.786,15.168,53.476
 120.90,  24.30,73.249,39.607,9.176,25.043,90.503,407.454,42.361,168.423,379.96,21.356,13.484,56.401
 121.00,  24.30,57.03,50.094,26.296,13.652,170.128,320.822,55.29,127.733,472.811,42.114,18.581,52.141
 121.05,  24.30,69.598,65.613,34.642,14.959,188.952,272.143,97.083,101.099,606.248,65.104,19.403,80.543
 121.10,  24.30,95.349,72.848,33.951,18.574,174.453,250.567,96.463,72.075,523.932,59.827,13.926,72.985
 120.70,  24.35,36.465,22.518,3.789,14.016,57.302,165.708,43.58,57.989,200.503,16.075,8.49,25.016
 120.75,  24.35,55.268,25.895,5.361,16.803,58.767,263.722,47.505,62.95,263.494,15.919,13.752,32.825
 120.80,  24.35,61.441,26.875,8.388,17.514,62.732,301.861,54.949,75.71,386.255,15.903,15.719,42.665
 120.85,  24.35,68.209,34.683,9.686,33.033,80.175,346.187,48.847,110.429,426.705,18.438,14.935,50.73
 120.90,  24.35,77.86,42.653,13.78,38.936,108.508,371.457,40.024,148.019,397.538,18.145,15.048,54.859
 120.95,  24.35,82.384,49.853,17.613,27.931,132.442,397.93,41.151,163.44,470.263,24.469,15.028,56.966
 121.00,  24.35,79.895,48.853,24.666,20.105,150.481,314.665,49.873,125.019,546.158,43.462,18.491,66.022
 121.05,  24.35,83.776,63.954,32.991,16.12,166.412,254.556,76.736,89.718,555.699,70.019,21.847,73.743
 121.10,  24.35,95.337,72.972,33.111,21.918,162.741,231.334,88.5,67.397,544.319,73.796,19.006,69.212
 121.15,  24.35,90.325,72.737,29.711,26.446,158.881,206.477,105.042,51.254,551.086,72.27,15.522,67.914
 121.20,  24.35,58.117,63.091,24.526,28.229,159.66,166.149,135.349,40.609,544.728,73.289,11.056,63.299
 120.65,  24.40,26.714,23.799,7.085,22.593,65.742,140.651,45.958,47.512,185.964,17.995,10.807,29.183
 120.70,  24.40,34.896,21.719,5.602,22.57,69.556,150.232,42.597,63.282,225.346,19.337,9.726,25.206
 120.75,  24.40,56.141,26.803,7.257,23.13,76.233,237.388,44.214,81.497,332.689,17.551,15.291,35.077
 120.80,  24.40,69.146,31.01,13.799,29.039,87.008,283.933,43.134,94.324,465.029,20.194,17.93,44.2
 120.85,  24.40,77.495,32.841,15.04,42.357,96.685,334.331,42.174,107.467,478.322,24.573,16.527,50.509
 120.90,  24.40,78.82,37.137,16.401,46.996,108.178,332.968,43.58,137.238,467.03,21.841,16.298,54.982
 120.95,  24.40,99.73,50.39,20.066,57.928,141.535,345.059,52.711,175.189,529.274,32.212,17.634,64.586
 121.00,  24.40,97.863,55.28,22.879,50.765,135.415,300.445,58.231,151.57,493.483,37.62,18.615,70.572
 121.05,  24.40,65.972,43.254,22.921,23.595,101.226,246.558,61.777,113.68,487.096,53.704,17.139,66.292
 121.10,  24.40,70.347,49.961,25.237,26.781,97.523,206.387,76.924,67.721,548.483,64.525,18.318,66.939
 121.15,  24.40,66.079,52.816,24.665,31.291,103.402,174.462,98.715,46.67,587.798,64.091,15.937,65.637
 121.20,  24.40,51.807,50.426,23.115,34.492,115.411,144.105,135.234,36.573,597.418,62.159,13.431,64.233
 121.25,  24.40,45.851,52.629,24.166,37.366,146.364,120.854,208.706,36.006,584.722,71.155,14.049,68.415
 120.60,  24.45,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.65,  24.45,32.463,23.055,10.755,24.252,67.075,155.65,34.165,45.947,175.105,18.094,7.311,30.074
 120.70,  24.45,25.74,13.287,5.893,23.913,72.922,143.16,27.837,50.139,219.559,21.253,4.691,22.982
 120.75,  24.45,36.127,14.785,6.743,25.242,88.462,188.973,28.555,70.771,323.213,21.424,9.436,26.758
 120.80,  24.45,53.202,21.012,13.097,28.932,96.938,237.983,32.72,80.984,424.876,22.119,14.217,35.301
 120.85,  24.45,73.945,32.212,18.235,45.939,101.088,284.48,40.143,88.448,476.207,27.904,16.249,42.882
 120.90,  24.45,86.681,32.372,21.252,58.405,117.637,307.091,59.323,111.748,610.558,30.518,18.581,55.289
 120.95,  24.45,99.46,45.369,22.096,59.464,135.086,319.485,43.551,143.871,619.141,35.177,20.31,62.688
