lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,0.124,43.719,54.049,175.221,372.057,98.147,133.194,746.137,27.189,3.272,0.54,0.0
 120.80,  24.30,0.669,46.382,60.47,191.769,383.926,178.249,81.105,853.923,34.22,4.582,0.979,0.0
 120.85,  24.30,2.371,58.55,66.173,226.768,411.003,211.372,79.237,831.427,51.06,2.094,1.778,0.0
 120.90,  24.30,6.236,67.257,76.781,302.802,451.173,206.772,91.216,958.003,57.287,4.49,1.695,0.015
 121.00,  24.30,39.123,136.597,103.203,534.747,751.737,141.774,46.065,695.291,76.975,9.127,3.844,1.28
 121.05,  24.30,52.023,158.648,76.186,592.091,860.311,127.943,69.513,398.795,38.512,4.261,3.205,1.291
 121.10,  24.30,36.853,125.174,34.803,531.26,668.789,61.554,92.57,194.561,19.593,0.516,0.706,0.252
 120.70,  24.35,0.013,45.484,48.819,154.196,373.59,61.389,155.276,626.503,54.662,0.821,0.0,0.0
 120.75,  24.35,0.024,43.671,53.53,157.085,348.472,95.186,125.631,689.752,59.665,2.859,0.0,0.0
 120.80,  24.35,0.535,52.027,60.805,190.536,380.6,167.488,82.703,838.935,58.557,1.907,0.403,0.0
 120.85,  24.35,4.006,73.576,85.829,264.35,433.98,223.624,105.037,781.046,61.889,2.696,1.323,0.0
 120.90,  24.35,8.937,83.147,98.633,325.569,468.557,269.7,99.434,983.53,75.473,5.023,1.648,0.0
 120.95,  24.35,11.321,88.469,100.225,370.551,507.898,289.173,95.012,1068.17,97.738,5.969,1.734,0.0
 121.00,  24.35,24.695,126.867,99.403,423.747,630.959,159.904,56.779,713.006,49.607,0.411,0.195,0.0
 121.05,  24.35,40.164,157.846,90.737,486.662,699.357,110.303,60.763,447.106,17.223,0.0,0.308,0.0
 121.10,  24.35,35.145,151.807,64.467,494.173,632.37,65.3,62.189,369.847,16.233,0.0,0.011,0.0
 121.15,  24.35,27.174,150.589,57.081,492.88,565.0,44.422,68.067,423.025,34.872,1.992,2.047,0.99
 121.20,  24.35,19.777,143.429,72.144,466.488,506.513,50.868,86.607,477.378,72.73,37.071,20.636,13.722
 120.65,  24.40,0.0,55.368,39.754,113.029,365.017,27.595,89.828,418.287,31.212,0.0,0.0,0.0
 120.70,  24.40,0.0,57.323,43.399,144.409,380.34,42.214,88.831,471.694,57.607,0.715,0.0,0.0
 120.75,  24.40,0.1,71.285,63.087,196.263,397.619,71.607,84.376,633.11,131.716,4.676,0.023,0.0
 120.80,  24.40,0.848,78.283,67.404,226.385,401.596,104.408,112.934,730.217,123.771,3.487,0.009,0.0
 120.85,  24.40,3.846,87.189,90.701,298.467,444.29,145.807,155.053,712.293,88.488,5.039,0.528,0.012
 120.90,  24.40,9.322,97.746,104.969,336.342,477.998,241.398,127.353,845.099,67.641,5.619,0.849,0.0
 120.95,  24.40,12.588,104.163,100.776,358.34,518.088,270.704,105.452,864.494,64.884,4.209,1.298,0.0
 121.00,  24.40,19.575,110.3,95.533,345.997,562.359,168.1,85.375,779.532,55.978,2.676,0.855,0.059
 121.05,  24.40,30.031,116.907,87.943,402.2,624.027,103.107,61.588,483.718,28.731,0.683,0.359,0.014
 121.10,  24.40,34.067,141.173,81.859,452.622,592.833,72.066,65.269,452.78,31.581,0.008,0.0,0.0
 121.15,  24.40,30.29,146.931,81.132,465.49,536.249,61.582,71.474,483.716,54.917,3.374,1.968,1.075
 121.20,  24.40,23.217,138.519,88.109,437.737,470.592,68.724,84.95,512.515,96.784,28.025,13.549,10.058
 121.25,  24.40,16.013,117.893,95.435,361.247,404.872,90.33,107.697,529.875,139.812,59.131,32.081,24.812
 120.60,  24.45,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.65,  24.45,0.0,55.678,44.327,105.04,356.711,28.274,42.012,318.601,31.487,0.0,0.0,0.0
 120.70,  24.45,0.0,66.363,49.206,141.68,397.076,37.826,60.621,387.616,69.225,0.472,0.0,0.0
 120.75,  24.45,0.0,85.761,60.612,182.699,393.847,41.197,97.232,586.741,145.924,2.231,0.0,0.0
 120.80,  24.45,0.097,90.185,68.673,216.598,380.768,63.14,129.206,694.371,151.105,3.019,0.0,0.0
 120.85,  24.45,2.095,93.291,80.615,277.849,409.745,99.567,191.862,768.392,114.414,4.247,0.0,0.0
 120.90,  24.45,4.26,103.797,92.434,329.003,458.09,175.864,204.586,761.883,94.384,4.234,0.0,0.0
 120.95,  24.45,7.773,117.032,101.534,379.531,508.231,256.522,166.73,759.183,98.633,5.108,0.077,0.0
 121.00,  24.45,15.106,92.45,94.896,352.099,512.727,164.674,94.306,721.324,81.57,11.466,0.691,0.037
 121.05,  24.45,26.375,97.753,97.853,399.896,594.932,117.688,71.735,587.246,76.984,18.302,3.9,2.658
 121.10,  24.45,36.498,137.575,104.742,442.639,580.86,82.053,81.829,518.922,77.443,6.234,1.62,1.038
 121.15,  24.45,36.128,150.596,109.08,464.794,529.913,79.782,92.871,552.844,116.612,13.684,4.956,3.559
 121.20,  24.45,28.081,139.986,106.489,433.055,453.819,90.196,100.192,577.217,168.778,36.462,14.288,13.13
 121.25,  24.45,18.127,118.553,89.173,353.706,376.19,88.997,111.915,579.281,189.512,53.438,25.77,20.752
 121.30,  24.45,11.692,100.652,67.016,289.193,302.08,76.313,145.075,546.622,181.064,68.351,44.672,22.552
 121.35,  24.45,13.237,97.337,59.126,258.867,249.212,76.102,211.849,512.248,174.832,125.265,102.533,27.678
 120.65,  24.50,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.70,  24.50,0.0,68.376,49.725,115.768,397.874,25.993,50.69,328.581,53.77,0.0,0.0,0.0
 120.75,  24.50,0.007,87.747,65.112,178.326,428.016,23.629,95.631,456.937,110.835,0.322,0.0,0.0
 120.80,  24.50,0.146,94.391,74.262,209.575,345.182,38.954,104.22,566.588,135.365,2.102,0.0,0.0
 120.85,  24.50,2.2,97.148,84.373,269.053,402.492,93.161,229.277,760.406,165.434,3.167,0.038,0.028
 120.90,  24.50,4.059,110.93,97.9,316.082,444.745,161.762,344.806,677.832,180.611,3.187,0.0,0.0
 120.95,  24.50,8.419,111.191,98.579,330.849,436.338,206.293,203.781,737.303,122.563,4.879,0.008,0.0
 121.00,  24.50,14.998,90.195,100.059,352.575,377.511,155.991,112.318,830.885,144.116,13.628,0.735,0.072
