lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,4.619,49.432,166.472,74.613,190.269,80.074,120.206,80.364,164.388,0.0,2.579,18.77
 120.80,  24.30,0.768,53.925,201.777,94.319,213.885,162.754,174.552,141.494,236.933,0.419,5.964,14.421
 120.85,  24.30,1.009,62.466,221.639,96.216,225.861,184.736,232.71,177.468,277.956,0.177,6.074,18.676
 120.90,  24.30,6.776,71.764,197.275,86.786,262.578,148.978,254.285,148.977,326.035,0.397,3.295,30.048
 121.00,  24.30,18.653,132.628,293.765,167.041,423.76,156.556,208.54,132.294,417.493,9.135,6.211,42.189
 121.05,  24.30,25.431,162.335,341.341,203.498,461.027,197.034,206.819,182.147,426.532,11.196,6.759,40.183
 121.10,  24.30,20.291,160.051,275.381,178.797,374.911,126.671,143.459,131.821,341.022,3.125,4.51,18.9
 120.70,  24.35,1.161,36.717,125.355,63.657,105.288,46.01,69.471,55.936,168.907,0.0,0.067,20.627
 120.75,  24.35,2.057,35.311,176.184,73.453,160.117,81.864,123.991,80.403,211.465,0.0,5.0,18.55
 120.80,  24.35,0.144,32.17,204.293,76.747,205.925,112.513,164.057,93.122,233.308,0.0,6.476,16.676
 120.85,  24.35,1.56,48.345,212.698,75.168,228.021,118.669,188.22,87.006,254.125,0.009,3.748,19.815
 120.90,  24.35,10.62,75.097,196.849,83.19,277.791,106.8,223.274,82.445,299.329,1.449,4.64,28.946
 120.95,  24.35,18.856,94.171,195.445,98.16,314.229,75.726,204.166,40.164,345.857,3.209,13.086,34.402
 121.00,  24.35,18.476,117.997,251.1,139.922,374.216,118.481,198.659,87.313,365.002,6.615,7.925,38.571
 121.05,  24.35,22.432,155.13,331.542,194.378,463.382,202.698,211.809,187.248,413.109,10.23,6.982,40.707
 121.10,  24.35,17.135,163.134,267.985,168.883,381.536,133.665,150.685,151.732,352.413,4.239,3.477,15.802
 121.15,  24.35,10.092,172.195,199.653,143.058,306.147,76.301,114.855,139.91,366.393,0.879,6.965,4.981
 121.20,  24.35,6.019,186.323,162.443,137.559,284.436,68.831,117.222,172.167,432.783,1.151,17.945,5.0
 120.65,  24.40,0.856,35.81,146.417,53.612,72.371,32.033,37.742,77.451,107.022,0.0,0.182,10.766
 120.70,  24.40,0.0,28.236,139.933,44.561,87.871,36.461,59.231,61.208,133.468,0.0,0.0,12.491
 120.75,  24.40,0.446,26.296,179.983,50.659,149.364,74.115,128.538,70.311,192.115,0.351,4.653,16.775
 120.80,  24.40,3.334,37.802,196.658,55.52,213.544,91.776,172.848,65.595,256.904,0.168,6.268,25.497
 120.85,  24.40,8.597,54.128,192.107,66.565,228.11,88.684,172.082,67.639,273.303,0.308,2.446,27.088
 120.90,  24.40,10.328,70.859,204.024,84.092,266.645,92.58,184.88,74.37,268.394,1.382,3.689,27.661
 120.95,  24.40,18.282,115.769,235.688,131.849,332.629,107.303,199.532,104.769,324.246,3.88,9.42,37.634
 121.00,  24.40,14.963,123.204,270.123,152.782,382.87,153.981,212.285,159.297,327.037,3.662,7.85,36.791
 121.05,  24.40,10.822,128.186,276.588,152.444,405.973,158.874,204.458,180.246,294.321,2.69,5.771,29.633
 121.10,  24.40,8.565,140.106,228.63,134.027,330.252,83.125,137.364,129.102,308.188,4.601,2.337,14.803
 121.15,  24.40,5.978,149.626,180.502,113.446,268.865,48.102,108.457,118.889,351.306,2.782,6.544,6.562
 121.20,  24.40,4.323,154.118,149.295,100.96,242.571,41.347,100.24,130.033,404.215,0.959,16.295,5.828
 121.25,  24.40,3.3,141.579,140.679,91.37,241.547,40.266,90.142,137.571,415.294,2.899,23.768,7.59
 120.60,  24.45,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.65,  24.45,0.311,34.411,165.905,36.236,75.553,29.641,28.335,80.933,80.274,0.0,0.346,2.397
 120.70,  24.45,0.121,28.233,156.742,32.406,70.905,29.206,58.415,71.339,105.442,0.0,0.0,4.432
 120.75,  24.45,1.305,24.614,183.881,34.602,104.631,46.101,107.36,60.268,144.913,0.075,2.223,8.57
 120.80,  24.45,3.77,32.996,204.009,47.959,158.24,60.124,155.56,56.559,227.041,0.029,3.637,19.045
 120.85,  24.45,8.58,36.413,217.307,75.35,169.157,72.235,169.249,67.164,272.525,0.214,0.812,25.629
 120.90,  24.45,11.122,52.544,196.246,82.362,218.519,77.668,163.364,55.859,251.04,1.232,0.679,27.37
 120.95,  24.45,18.086,103.626,228.546,108.971,319.196,91.447,169.667,108.563,313.512,3.235,9.922,38.938
 121.00,  24.45,12.577,112.44,253.767,124.76,347.182,111.239,186.393,159.572,274.605,1.39,9.099,33.449
 121.05,  24.45,8.487,114.384,234.599,119.911,351.98,99.415,200.377,150.909,240.833,1.405,6.376,25.301
 121.10,  24.45,7.191,130.227,197.03,107.787,288.647,45.26,139.131,124.221,311.623,7.94,4.43,16.16
 121.15,  24.45,4.783,134.922,159.546,90.03,235.416,30.425,114.871,124.696,373.749,10.167,9.385,9.367
 121.20,  24.45,3.365,132.337,135.939,74.169,212.077,28.456,100.746,125.3,409.841,7.598,17.879,8.261
 121.25,  24.45,2.502,122.307,138.339,63.53,215.914,27.126,82.795,112.263,399.133,6.066,19.119,10.497
 121.30,  24.45,2.21,115.022,140.85,42.48,242.932,30.751,73.863,118.287,423.378,6.546,18.456,17.894
 121.35,  24.45,4.842,118.77,141.881,32.573,308.501,37.441,88.417,151.666,552.206,12.341,25.341,39.695
 120.65,  24.50,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.70,  24.50,0.557,33.477,162.873,36.752,60.231,24.234,58.677,84.07,87.539,0.0,0.0,3.786
 120.75,  24.50,1.737,29.747,182.474,37.618,74.091,26.727,86.401,75.897,114.743,0.0,0.732,5.59
 120.80,  24.50,4.05,32.624,214.499,55.859,111.235,36.208,145.615,72.609,196.589,0.0,2.95,13.765
 120.85,  24.50,5.613,39.443,224.318,76.233,151.97,52.685,170.539,64.149,262.837,0.0,0.496,25.605
 120.90,  24.50,7.122,55.592,203.679,86.183,194.601,64.539,173.507,61.794,256.327,0.326,0.821,31.881
 120.95,  24.50,10.85,85.588,210.665,102.291,258.776,60.932,166.346,79.216,270.259,1.793,6.494,33.617
 121.00,  24.50,11.316,97.452,217.871,103.961,269.844,54.311,177.776,110.997,273.68,3.985,7.961,34.244
 121.05,  24.50,6.009,109.931,197.852,101.753,262.787,41.84,153.982,107.757,278.863,5.019,6.115,23.024
 121.10,  24.50,7.802,144.128,188.612,108.419,265.493,42.067,160.024,174.413,446.125,21.428,9.719,19.166
 121.15,  24.50,6.05,135.82,155.419,89.899,225.521,32.1,140.599,169.719,462.091,27.156,14.486,13.784
 121.20,  24.50,4.639,134.312,145.394,80.088,211.361,28.545,128.216,159.519,453.397,22.437,17.964,12.419
 121.25,  24.50,4.391,129.54,151.914,70.606,218.18,32.968,113.208,125.489,451.082,16.132,14.332,15.726
 121.30,  24.50,4.184,119.976,152.719,50.218,259.386,46.401,103.18,135.078,521.18,10.849,13.468,26.952
 121.35,  24.50,3.833,112.472,147.149,36.72,306.214,49.983,97.618,160.303,616.513,9.139,19.084,42.579
 121.40,  24.50,5.075,101.001,145.322,32.72,341.015,45.731,103.809,191.119,700.488,10.711,33.181,58.063
 120.70,  24.55,0.611,38.48,157.478,37.055,56.605,21.987,61.518,86.216,86.216,0.0,0.0,4.175
 120.75,  24.55,1.486,41.11,176.165,42.822,64.064,22.816,80.658,89.238,97.796,0.0,0.437,6.754
 120.80,  24.55,6.492,53.582,217.24,66.453,92.287,24.575,138.55,109.27,159.621,0.0,3.552,18.192
 120.85,  24.55,6.069,55.834,218.598,81.043,120.472,28.28,166.985,89.111,213.657,0.0,0.274,25.633
 120.90,  24.55,8.008,76.281,226.594,97.808,171.73,59.907,200.063,78.274,277.414,0.794,1.508,40.614
 120.95,  24.55,5.02,62.092,186.852,93.872,181.977,42.014,166.749,83.379,281.588,0.752,1.232,39.259
 121.00,  24.55,7.205,78.504,190.222,94.943,218.654,54.091,199.078,118.323,321.997,9.793,5.065,45.023
 121.05,  24.55,3.267,96.635,191.184,98.984,233.529,55.586,169.785,106.06,320.625,8.329,7.894,33.388
 121.10,  24.55,4.409,111.265,177.061,104.013,225.527,37.925,142.477,116.134,380.012,13.034,8.578,23.382
 121.15,  24.55,6.456,121.091,169.295,100.4,221.739,31.534,144.076,150.75,439.755,24.897,11.502,20.803
 121.20,  24.55,8.897,142.186,175.073,103.536,235.521,36.869,158.817,197.96,498.276,35.744,15.546,20.436
 121.25,  24.55,6.81,145.134,161.976,91.319,219.398,46.752,154.328,163.448,548.8,30.253,12.643,21.86
 121.30,  24.55,5.884,122.796,166.532,73.969,278.325,78.73,154.076,175.183,654.096,25.363,12.7,36.458
 121.35,  24.55,4.851,107.514,143.059,58.753,274.67,53.729,124.002,154.046,623.664,17.813,15.47,36.888
 121.40,  24.55,2.891,92.64,130.796,50.738,295.435,42.444,123.358,178.767,656.059,14.327,34.082,41.007
 120.70,  24.60,1.024,46.205,176.494,45.89,50.153,20.09,67.653,107.759,83.523,0.0,0.108,10.884
 120.75,  24.60,2.165,50.404,197.259,59.699,55.509,16.098,77.919,114.384,94.584,0.0,1.026,11.072
 120.80,  24.60,7.131,64.431,229.139,79.979,81.091,11.485,123.383,128.355,142.548,0.0,3.23,16.067
 120.85,  24.60,5.894,63.123,213.776,81.579,98.66,8.502,141.595,113.072,165.156,0.0,0.586,21.664
 120.90,  24.60,8.866,64.861,211.883,92.751,128.43,27.379,183.308,100.276,207.082,0.0,0.464,40.962
 120.95,  24.60,2.065,49.469,150.158,90.92,128.276,22.728,151.941,91.267,263.954,0.037,0.087,46.706
 121.00,  24.60,2.875,65.532,168.27,97.052,169.799,50.62,181.239,125.506,346.647,5.141,1.782,47.422
 121.05,  24.60,3.146,80.283,190.028,106.698,213.524,59.151,195.604,125.266,377.161,14.295,6.095,46.621
 121.10,  24.60,4.261,77.481,192.067,101.982,210.875,57.0,183.705,112.34,331.275,11.795,6.032,42.62
 121.15,  24.60,13.062,95.377,198.125,102.427,229.873,61.149,207.333,158.155,430.346,28.304,14.646,46.314
 121.20,  24.60,7.143,109.086,147.094,96.14,200.373,37.662,145.18,132.97,466.926,30.887,12.697,28.888
 121.25,  24.60,2.051,116.851,112.076,76.796,167.681,42.221,110.024,113.753,522.043,28.143,12.561,21.867
 121.30,  24.60,1.247,118.876,108.854,68.075,198.761,62.503,100.963,138.855,633.985,27.441,12.842,32.885
