lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 120.75,  24.30,8.05,79.938,59.306,95.17,226.148,360.491,347.801,308.972,11.841,0.0,60.02,13.851
 120.80,  24.30,5.129,93.089,63.185,106.169,221.55,377.847,348.534,352.178,10.188,0.0,68.48,9.661
 120.85,  24.30,18.452,104.111,68.323,116.48,235.722,402.643,347.155,394.731,11.985,0.0,51.798,5.679
 120.90,  24.30,58.247,113.966,83.364,141.022,255.104,471.417,345.224,503.313,16.392,0.0,72.807,14.291
 121.00,  24.30,33.783,199.417,142.53,341.407,389.002,788.43,500.527,545.121,64.158,0.205,101.784,35.943
 121.05,  24.30,40.195,235.46,174.55,300.671,426.072,823.311,575.348,557.365,71.027,0.511,104.62,57.111
 121.10,  24.30,33.721,240.268,201.779,259.681,352.632,667.519,471.41,433.466,50.873,0.463,93.105,57.153
 120.70,  24.35,4.757,64.779,50.447,85.514,210.826,347.978,355.846,204.504,7.265,0.0,61.765,13.579
 120.75,  24.35,3.312,64.211,54.153,95.598,222.025,404.266,322.98,270.794,12.517,0.0,63.343,12.275
 120.80,  24.35,5.941,86.693,59.265,99.76,220.109,422.263,331.118,349.513,14.647,0.0,67.53,12.01
 120.85,  24.35,12.599,112.764,69.809,113.858,222.605,412.759,302.683,390.887,14.867,0.0,53.583,7.952
 120.90,  24.35,28.593,131.842,87.785,147.832,243.235,474.193,307.826,511.289,15.279,0.0,77.988,18.365
 120.95,  24.35,22.491,154.032,97.285,188.329,273.57,563.723,332.122,601.44,33.439,0.0,90.206,28.09
 121.00,  24.35,30.044,190.61,127.121,253.98,324.163,654.294,382.447,553.364,42.701,0.0,97.393,38.307
 121.05,  24.35,39.013,222.739,162.507,307.228,378.276,735.59,482.875,522.619,55.524,2.057,97.874,54.539
 121.10,  24.35,37.142,230.541,187.886,295.737,342.957,658.274,458.704,430.85,46.344,3.274,95.651,57.854
 121.15,  24.35,34.358,229.443,201.19,281.555,303.982,567.008,427.758,324.591,36.1,5.096,97.741,60.728
 121.20,  24.35,31.43,212.762,194.709,269.42,278.61,482.897,408.786,177.393,35.171,9.168,99.298,66.542
 120.65,  24.40,0.638,79.073,46.171,72.36,165.643,333.826,333.599,198.288,1.714,0.0,69.636,16.16
 120.70,  24.40,2.035,74.235,51.448,82.84,178.222,378.831,303.644,208.651,6.614,0.0,73.838,16.921
 120.75,  24.40,4.815,78.447,57.717,102.571,196.836,423.284,298.99,254.098,16.863,0.0,76.355,17.585
 120.80,  24.40,7.361,103.291,65.049,109.954,212.507,426.257,276.548,340.528,20.116,0.0,65.412,17.309
 120.85,  24.40,12.294,117.383,76.532,119.235,214.804,433.793,260.439,398.145,27.91,0.0,72.422,14.563
 120.90,  24.40,18.427,134.324,93.943,139.705,235.755,464.017,271.722,446.968,22.128,0.0,77.2,18.709
 120.95,  24.40,22.315,160.353,106.405,168.255,248.096,500.715,280.808,514.006,24.197,0.0,87.149,32.39
 121.00,  24.40,27.906,194.748,116.822,238.46,271.925,557.934,295.429,547.758,41.753,0.196,93.054,47.247
 121.05,  24.40,29.937,183.817,146.783,254.508,350.07,629.879,408.327,471.791,52.77,0.301,68.97,45.154
 121.10,  24.40,32.461,193.056,181.498,253.615,303.242,578.806,425.254,327.766,37.972,1.584,81.823,50.595
 121.15,  24.40,33.708,200.501,192.046,238.427,260.496,496.322,422.232,260.535,29.232,3.317,93.028,58.307
 121.20,  24.40,33.634,189.445,180.422,219.498,229.411,416.128,414.298,192.349,28.205,5.93,94.96,65.226
 121.25,  24.40,32.304,153.676,147.631,191.055,199.243,342.347,404.154,143.163,42.535,8.666,84.477,68.51
 120.60,  24.45,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.65,  24.45,1.34,79.902,52.431,78.636,168.593,343.844,312.797,186.243,0.834,0.0,78.921,19.581
 120.70,  24.45,1.976,85.802,58.115,86.772,165.144,399.152,277.612,142.725,2.762,0.0,92.957,22.43
 120.75,  24.45,4.06,92.925,62.026,105.962,185.92,437.45,263.146,166.235,10.952,0.0,96.939,25.899
 120.80,  24.45,5.625,104.843,68.936,112.463,198.492,431.58,241.299,241.2,21.154,0.0,77.201,23.952
 120.85,  24.45,10.052,116.694,83.583,116.073,202.147,451.319,219.653,349.668,49.652,0.0,85.411,22.978
 120.90,  24.45,14.587,128.296,105.088,120.879,212.707,459.041,234.84,400.488,39.869,0.0,86.97,19.329
 120.95,  24.45,15.108,156.732,117.411,159.367,222.811,502.599,261.352,491.613,21.079,0.063,87.036,34.581
 121.00,  24.45,17.965,158.522,119.37,182.117,264.44,528.927,284.768,483.847,28.843,0.071,70.197,40.797
 121.05,  24.45,20.812,147.351,158.494,217.377,326.257,578.954,360.966,309.661,51.213,0.145,53.273,38.57
 121.10,  24.45,26.106,164.803,202.211,233.096,269.63,540.518,400.036,173.782,34.697,0.498,73.228,45.396
 121.15,  24.45,32.94,181.905,201.107,204.7,219.464,443.958,428.35,232.799,32.133,2.008,90.914,57.631
 121.20,  24.45,36.049,175.535,176.673,180.518,184.275,367.96,427.483,252.582,28.858,3.876,93.226,66.015
 121.25,  24.45,35.155,139.298,138.832,152.91,147.496,307.363,419.326,230.548,35.886,5.967,79.962,67.901
 121.30,  24.45,35.56,111.922,111.913,117.271,104.837,248.932,443.91,217.575,67.505,6.974,66.648,68.854
 121.35,  24.45,35.772,110.279,98.148,92.621,72.359,204.998,470.394,158.235,123.57,11.872,57.803,77.601
 120.65,  24.50,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
 120.70,  24.50,1.743,81.655,63.722,90.57,158.92,389.658,255.614,87.44,0.25,0.0,111.619,28.884
 120.75,  24.50,2.514,86.884,64.134,103.216,176.561,423.425,232.443,92.058,2.518,0.0,114.349,29.58
 120.80,  24.50,4.886,99.509,71.305,111.377,176.551,429.765,217.588,166.372,15.806,0.0,99.672,28.225
 120.85,  24.50,6.653,114.017,87.812,103.38,178.003,414.202,190.525,287.027,36.642,0.0,82.499,29.767
 120.90,  24.50,10.248,124.714,105.001,117.813,188.229,439.032,204.087,364.241,44.368,0.0,78.96,25.45
 120.95,  24.50,16.291,146.27,122.255,162.158,206.728,466.468,223.06,399.969,26.308,0.06,87.109,32.847
 121.00,  24.50,16.871,137.065,126.074,172.345,221.662,474.124,239.801,375.869,23.672,0.032,80.707,41.86
 121.05,  24.50,15.83,140.584,183.885,206.913,239.46,539.819,286.232,145.067,30.28,0.0,68.272,44.651
 121.10,  24.50,20.281,199.698,274.872,291.319,251.745,629.026,380.87,36.179,37.536,0.253,84.241,60.644
 121.15,  24.50,31.99,175.132,218.904,195.702,188.172,422.815,436.454,194.357,35.45,1.4,95.036,61.3
 121.20,  24.50,37.355,171.399,167.863,162.083,151.811,349.649,458.488,329.57,29.044,3.542,97.759,71.072
 121.25,  24.50,36.918,136.713,129.826,136.531,122.325,296.232,462.153,314.463,36.3,5.271,85.794,71.481
 121.30,  24.50,36.088,109.611,109.307,108.101,91.489,246.07,483.715,266.279,61.24,5.747,72.035,72.893
 121.35,  24.50,35.931,106.649,100.567,92.424,68.664,218.063,476.387,210.111,96.468,6.759,61.016,77.027
 121.40,  24.50,38.286,112.415,102.685,86.709,55.544,218.119,498.891,180.27,134.205,17.185,57.663,78.666
 120.70,  24.55,2.251,72.245,65.201,99.395,158.539,394.185,230.533,71.137,0.0,0.0,111.485,31.804
 120.75,  24.55,3.758,76.15,64.797,108.273,163.822,408.31,198.37,75.239,0.084,0.0,115.205,33.063
 120.80,  24.55,5.484,88.088,74.302,107.4,152.034,405.177,180.532,144.829,3.684,0.0,108.937,32.295
 120.85,  24.55,7.201,100.816,90.165,87.112,145.747,367.253,171.512,202.699,14.702,0.0,84.084,33.63
 120.90,  24.55,11.552,116.748,107.075,108.962,145.62,420.798,167.688,316.038,44.64,0.0,89.87,35.75
 120.95,  24.55,12.469,121.428,115.218,127.622,140.678,405.735,175.184,342.039,32.168,0.0,94.379,35.135
 121.00,  24.55,14.17,117.07,119.976,140.531,155.954,415.259,186.982,372.899,29.104,0.0,97.289,44.164
